EmpID,Dept,Performance,Age,Score,Salary
1,Finance,High,32.0,66,
2,Support,High,,89,109000.0
3,Tech,Medium,46.0,82,102000.0
4,Support,Low,44.0,58,78000.0
5,Support,Medium,52.0,92,
6,HR,Medium,,97,117000.0
7,Tech,Medium,56.0,88,108000.0
8,Tech,Medium,28.0,78,98000.0
9,Tech,Low,37.0,91,111000.0
10,Support,Medium,47.0,75,95000.0
11,Finance,Medium,23.0,84,104000.0
12,Tech,High,22.0,99,119000.0
13,Support,High,33.0,74,
14,HR,High,26.0,73,93000.0
15,Finance,Low,,62,82000.0
16,HR,Low,53.0,56,76000.0
17,Finance,Low,30.0,85,105000.0
18,Support,High,56.0,94,114000.0
19,Sales,Low,40.0,69,89000.0
20,Finance,Medium,,50,70000.0
21,HR,Low,24.0,57,77000.0
22,Support,High,41.0,95,
23,Finance,Medium,45.0,65,85000.0
24,Sales,Medium,,63,83000.0
25,Sales,Medium,,61,81000.0
26,Tech,Low,,100,120000.0
27,Tech,Medium,29.0,72,92000.0
28,HR,Medium,57.0,64,84000.0
29,Finance,Low,59.0,77,97000.0
30,Finance,High,41.0,83,103000.0
31,Tech,Medium,56.0,51,71000.0
32,Finance,Medium,46.0,81,101000.0
33,Finance,High,56.0,72,92000.0
34,Sales,Medium,46.0,71,91000.0
35,Tech,Low,50.0,100,
36,Support,Low,39.0,74,
37,Tech,Medium,39.0,71,
38,Support,Low,23.0,71,
39,Sales,Medium,56.0,98,118000.0
40,HR,High,37.0,91,
41,Finance,Medium,57.0,55,75000.0
42,Sales,Low,,64,84000.0
43,Finance,Medium,25.0,92,
44,HR,High,54.0,86,106000.0
45,HR,Low,35.0,82,102000.0
46,Sales,Medium,42.0,57,77000.0
47,HR,Low,41.0,93,113000.0
48,Support,Medium,29.0,93,113000.0
49,HR,Medium,28.0,54,74000.0
50,Finance,Low,24.0,88,108000.0
51,Finance,Medium,38.0,53,73000.0
52,Finance,Medium,,55,75000.0
53,Finance,Medium,33.0,94,
54,Support,Low,43.0,81,101000.0
55,Tech,Low,43.0,79,99000.0
56,Sales,Low,51.0,96,116000.0
57,Finance,Low,59.0,84,104000.0
58,HR,Medium,59.0,89,109000.0
59,Finance,Medium,29.0,65,85000.0
60,HR,Low,48.0,62,82000.0
61,HR,Low,48.0,99,119000.0
62,Finance,Low,55.0,91,111000.0
63,Support,Medium,,79,99000.0
64,HR,High,51.0,68,88000.0
65,HR,Low,54.0,66,86000.0
66,Finance,High,49.0,68,
67,HR,Low,54.0,77,97000.0
68,HR,High,26.0,75,95000.0
69,Finance,Medium,40.0,86,106000.0
70,Finance,Low,25.0,75,95000.0
71,Sales,Medium,56.0,72,92000.0
72,Support,Medium,38.0,58,78000.0
73,Support,Medium,49.0,61,
74,HR,Medium,51.0,50,70000.0
75,Support,Medium,50.0,50,70000.0
76,HR,Medium,27.0,96,116000.0
77,Sales,Medium,56.0,83,103000.0
78,Finance,Low,58.0,81,101000.0
79,Finance,Medium,45.0,97,117000.0
80,Finance,Low,,74,94000.0
81,Support,High,,89,109000.0
82,Sales,Medium,56.0,94,114000.0
83,Support,High,54.0,50,70000.0
84,Support,Medium,42.0,65,85000.0
85,Sales,High,53.0,88,108000.0
86,Sales,High,44.0,54,74000.0
87,Sales,Low,54.0,71,91000.0
88,Sales,Medium,24.0,78,
89,Finance,Medium,39.0,52,72000.0
90,Tech,High,46.0,61,
91,Tech,Medium,52.0,75,95000.0
92,Sales,Low,24.0,65,85000.0
93,Tech,High,45.0,100,120000.0
94,Tech,High,,86,106000.0
95,Sales,Medium,43.0,71,91000.0
96,Tech,Low,44.0,78,98000.0
97,Support,High,23.0,63,83000.0
98,HR,Medium,48.0,77,97000.0
99,HR,Medium,23.0,54,74000.0
100,Sales,High,47.0,96,
