transaction_id,customer_id,product_id,amount,transaction_date,payment_method
1,56,3,48.39783197,2024-07-15 21:00:00,Cash
2,125,9,170.9651575,2024-11-25 16:00:00,PayPal
3,125,29,197.2823852,2024-01-22 02:00:00,PayPal
4,48,39,272.0064746,2024-06-23 21:00:00,Cash
5,120,31,188.4513096,2024-07-12 18:00:00,PayPal
6,104,50,184.2503697,2024-12-18 08:00:00,PayPal
7,80,7,106.0411902,2024-06-11 16:00:00,Credit Card
8,105,30,286.3929358,2024-05-10 11:00:00,Debit Card
9,96,33,267.5778097,2024-10-09 09:00:00,Debit Card
10,122,41,86.32375651,2024-03-08 21:00:00,Debit Card
11,49,3,,2024-01-26 10:00:00,Cash
12,10,24,289.6195251,2024-02-21 16:00:00,PayPal
13,57,33,267.5778097,2024-12-08 08:00:00,Debit Card
14,40,22,178.8474215,2024-01-27 14:00:00,Cash
15,61,34,83.86233615,2024-02-28 16:00:00,PayPal
16,115,11,190.8934593,2024-12-12 11:00:00,Debit Card
17,121,12,220.5221888,2024-11-09 22:00:00,Debit Card
18,85,29,197.2823852,2024-04-16 15:00:00,Debit Card
19,80,33,267.5778097,2024-12-21 02:00:00,Cash
20,36,41,86.32375651,2024-12-30 08:00:00,Debit Card
21,2,38,255.1611648,2024-02-13 04:00:00,PayPal
22,49,7,106.0411902,2024-06-06 06:00:00,PayPal
23,57,22,178.8474215,2024-06-18 06:00:00,Debit Card
24,29,17,,2024-03-09 13:00:00,PayPal
25,100,15,54.12810613,2024-07-05 01:00:00,Cash
26,21,26,245.6779139,2024-04-28 20:00:00,Debit Card
27,60,3,48.39783197,2024-05-20 18:00:00,Cash
28,20,8,244.8472514,2024-02-25 10:00:00,Cash
29,44,10,107.1661558,2024-07-18 22:00:00,PayPal
30,122,29,197.2823852,2024-08-24 06:00:00,PayPal
31,84,24,,2024-10-07 22:00:00,Credit Card
32,53,26,245.6779139,2024-12-10 01:00:00,Credit Card
33,28,15,54.12810613,2024-08-26 21:00:00,PayPal
34,8,4,156.0440926,2024-09-17 12:00:00,Debit Card
35,111,37,135.0879715,2024-09-22 11:00:00,Cash
36,62,26,245.6779139,2024-10-31 07:00:00,Debit Card
37,79,26,245.6779139,2024-10-17 14:00:00,Debit Card
38,37,1,281.6420875,2024-06-11 15:00:00,Cash
39,8,48,194.6806109,2024-05-10 12:00:00,PayPal
40,27,25,,2024-10-08 16:00:00,PayPal
41,18,11,190.8934593,2024-05-04 01:00:00,Cash
42,26,33,267.5778097,2024-03-16 09:00:00,Cash
43,18,11,190.8934593,2024-11-03 21:00:00,Debit Card
44,73,27,174.0634318,2024-06-23 17:00:00,Credit Card
45,15,24,289.6195251,2024-04-10 15:00:00,PayPal
46,74,8,244.8472514,2024-01-02 12:00:00,PayPal
47,72,24,289.6195251,2024-08-09 09:00:00,Credit Card
48,112,20,218.5329533,2024-03-12 14:00:00,PayPal
49,61,50,184.2503697,2024-10-11 01:00:00,PayPal
50,14,19,167.0457474,2024-09-23 15:00:00,Cash
51,41,45,138.646711,2024-07-01 05:00:00,PayPal
52,63,6,99.76441255,2024-09-07 06:00:00,Cash
53,39,13,96.33472021,2024-06-22 19:00:00,PayPal
54,37,9,170.9651575,2024-08-25 07:00:00,Cash
55,32,12,,2024-08-11 16:00:00,Cash
56,61,44,250.3320092,2024-10-01 07:00:00,Credit Card
57,113,38,255.1611648,2024-09-25 17:00:00,PayPal
58,119,49,146.49495,2024-07-19 15:00:00,Debit Card
59,89,3,48.39783197,2024-09-12 21:00:00,Debit Card
60,116,26,,2024-01-09 12:00:00,Debit Card
61,125,13,96.33472021,2024-06-20 02:00:00,Debit Card
62,96,1,281.6420875,2024-08-28 20:00:00,Cash
63,108,11,190.8934593,2024-07-02 08:00:00,PayPal
64,98,10,,2024-04-10 05:00:00,Cash
65,58,13,96.33472021,2024-03-21 12:00:00,Debit Card
66,35,22,178.8474215,2024-05-18 00:00:00,Credit Card
67,118,45,,2024-03-12 03:00:00,PayPal
68,65,3,,2024-07-09 10:00:00,Cash
69,15,21,49.92553847,2024-03-15 17:00:00,Cash
70,101,22,178.8474215,2024-04-18 12:00:00,Cash
71,9,35,,2024-02-26 17:00:00,Credit Card
72,96,1,281.6420875,2024-11-03 19:00:00,Debit Card
73,36,27,174.0634318,2024-05-17 04:00:00,PayPal
74,72,46,206.9139718,2024-05-19 22:00:00,Credit Card
75,79,29,197.2823852,2024-11-23 00:00:00,Debit Card
76,107,31,188.4513096,2024-10-28 16:00:00,Debit Card
77,120,42,,2024-01-03 01:00:00,Cash
78,107,30,286.3929358,2024-04-12 17:00:00,Debit Card
79,58,11,190.8934593,2024-10-30 08:00:00,Debit Card
80,47,11,190.8934593,2024-06-24 01:00:00,PayPal
81,61,31,188.4513096,2024-03-12 12:00:00,PayPal
82,58,30,286.3929358,2024-05-24 17:00:00,Credit Card
83,43,32,249.3728806,2024-05-15 22:00:00,Debit Card
84,38,9,170.9651575,2024-04-26 21:00:00,Debit Card
85,44,25,155.3927811,2024-07-08 06:00:00,Cash
86,102,43,96.94568995,2024-07-29 10:00:00,Debit Card
87,39,25,155.3927811,2024-05-10 04:00:00,Cash
88,62,49,146.49495,2024-06-12 15:00:00,Debit Card
89,21,5,,2024-06-06 01:00:00,Debit Card
90,71,19,167.0457474,2024-06-21 04:00:00,Debit Card
91,117,17,210.7129991,2024-05-18 16:00:00,Cash
92,61,46,206.9139718,2024-10-03 18:00:00,Cash
93,51,29,197.2823852,2024-10-27 04:00:00,Cash
94,32,45,138.646711,2024-09-15 06:00:00,Debit Card
95,36,16,70.72181787,2024-10-16 12:00:00,PayPal
96,123,30,286.3929358,2024-01-04 02:00:00,Cash
97,18,46,,2024-11-27 14:00:00,Debit Card
98,69,35,79.37255517,2024-04-08 22:00:00,Debit Card
99,59,3,48.39783197,2024-12-24 03:00:00,PayPal
100,122,16,70.72181787,2024-09-26 07:00:00,PayPal
101,56,4,156.0440926,2024-04-15 12:00:00,Credit Card
102,29,32,,2024-09-13 11:00:00,Credit Card
103,60,42,238.5471443,2024-01-14 06:00:00,Cash
104,113,18,70.80273735,2024-01-30 22:00:00,PayPal
105,31,5,91.89743896,2024-12-12 09:00:00,Debit Card
106,41,36,191.0746769,2024-12-08 12:00:00,Credit Card
107,83,41,86.32375651,2024-09-24 06:00:00,PayPal
108,42,43,,2024-04-23 13:00:00,PayPal
109,1,19,167.0457474,2024-01-16 20:00:00,Credit Card
110,90,24,289.6195251,2024-01-30 12:00:00,Cash
111,82,3,48.39783197,2024-02-09 11:00:00,Debit Card
112,95,14,135.7937484,2024-01-17 02:00:00,Debit Card
113,109,2,118.4543524,2024-11-24 13:00:00,Debit Card
114,122,40,118.9579862,2024-01-23 16:00:00,Cash
115,6,33,267.5778097,2024-12-18 10:00:00,Credit Card
116,120,7,106.0411902,2024-03-17 02:00:00,Credit Card
117,95,9,170.9651575,2024-11-29 05:00:00,Cash
